Smartphone Name,Price,Ram & Rom,Dipslay,Camera,Battery Capacity,Operating System,Star_Ratings,No of Ratings,No of Reviews
"realme Narzo 50i (Mint Green, 64 GB)",8999,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,SC9863A Processor,4.3,37631,1917
"Infinix Hot 11S (Silver Wave, 128 GB)",11999,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,17.22 cm (6.78 inch) Full HD+ Display,50 MP + 2 MP + AI Lens | 8MP Front Camera,5000 mAh Li-ion Polymer Battery,Mediatek Helio G88 Processor,4.3,21072,2306
"Infinix Hot 11S (Green Wave, 128 GB)",11999,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,17.22 cm (6.78 inch) Full HD+ Display,50 MP + 2 MP + AI Lens | 8MP Front Camera,5000 mAh Li-ion Polymer Battery,Mediatek Helio G88 Processor,4.3,21072,2306
"REDMI Note 10S (Shadow Black, 64 GB)",14999,6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.33 cm (6.43 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 13MP Front Camera,5000 mAh Lithium-Ploymer Battery,Mediatek Helio G95 Processor,4.2,10268,751
"POCO M2 Pro (Out of the Blue, 64 GB)",14999,6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.94 cm (6.67 inch) Full HD+ Display,48MP + 8MP + 5MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 720G Processor,4.4,341569,32769
"MOTOROLA E7 Power (Coral Red, 64 GB)",8999,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.54 cm (6.51 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,5000 mAh Battery,MediaTek Helio G25 Processor,4.1,74037,6581
"APPLE iPhone SE (Black, 128 GB)",35099,128 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A13 Bionic Chip with 3rd Gen Neural Engine Processor,"Water and Dust Resistant (1 meter for Upto 30 minutes, IP67)",4.5,144594,11387
"MOTOROLA G40 Fusion (Dynamic Gray, 64 GB)",14499,4 GB RAM | 64 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,64MP + 8MP + 2MP | 16MP Front Camera,6000 mAh Battery,Qualcomm Snapdragon 732G Processor,4.3,29654,3377
"POCO M3 Pro 5G (Yellow, 64 GB)",14999,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery,MediaTek Dimensity 700 Processor,4.3,26902,2113
"MOTOROLA g31 (Meteorite Grey, 128 GB)",14999,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.43 cm (6.47 inch) Full HD+ Display,50MP + 8MP + 2MP | 13MP Front Camera,5000 mAh LiPo Battery,Mediatek Helio G85 Processor,4.2,1357,193
"APPLE iPhone SE (White, 128 GB)",35099,128 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A13 Bionic Chip with 3rd Gen Neural Engine Processor,"Water and Dust Resistant (1 meter for Upto 30 minutes, IP67)",4.5,144594,11387
"MOTOROLA e40 (Pink Clay, 64 GB)",9999,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,48MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,UNISOC T700 Processor,4.2,17979,2001
"REDMI Note 10S (Frost White, 64 GB)",14999,6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.33 cm (6.43 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 13MP Front Camera,5000 mAh Lithium-Ploymer Battery,Mediatek Helio G95 Processor,4.2,10268,751
"Infinix Note 11s (Mithril Grey, 64 GB)",13999,6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,17.65 cm (6.95 inch) Full HD+ Display,50 MP + 2 MP Depth Lens + 2 MP Macro Lens | 16MP Front Camera,5000 mAh Li-ion Polymer Battery,MediaTek Helio G96 Processor,4.3,3904,585
"Infinix Hot 11S (Green Wave, 64 GB)",10999,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,17.22 cm (6.78 inch) Full HD+ Display,50MP + 2MP + AI Lens | 8MP Front Camera,5000 mAh Li-ion Polymer Battery,MediaTek Helio G88 Processor,4.3,21072,2306
"Infinix Hot 10 Play (Morandi Green, 32 GB)",8299,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,17.32 cm (6.82 inch) HD+ Display,13MP + Depth Sensor | 8MP Front Camera,6000 mAh Li-ion Polymer Battery,MediaTek Helio G35 Processor,4.3,23785,1779
"GIONEE Max (Royal Blue, 32 GB)",6299,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.49 cm (6.1 inch) HD+ Display,13MP + Digital Camera | 5MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Octa Core Processor,4,99667,9607
"GIONEE Max (Red, 32 GB)",6299,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.49 cm (6.1 inch) HD+ Display,13MP + Digital Camera | 5MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Octa Core Processor,4,99667,9607
"POCO M3 Pro 5G (Yellow, 128 GB)",16499,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery,MediaTek Dimensity 700 Processor,4.2,22942,1959
"REDMI Note 10S (Deep Sea Blue, 128 GB)",20999,8 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.33 cm (6.43 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 13MP Front Camera,5000 mAh Lithium-Ploymer Battery,Mediatek Helio G95 Processor,4.3,1356,101
"Infinix Hot 11S (Polar Black, 128 GB)",11999,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,17.22 cm (6.78 inch) Full HD+ Display,50 MP + 2 MP + AI Lens | 8MP Front Camera,5000 mAh Li-ion Polymer Battery,Mediatek Helio G88 Processor,4.3,21072,2306
"OPPO Reno7 Pro 5G (Starlight Black, 256 GB)",39999,12 GB RAM | 256 GB ROM,16.51 cm (6.5 inch) Full HD+ AMOLED Display,50MP + 8MP + 2MP | 32MP Front Camera,4500 mAh Lithium-ion Polymer Battery,MediaTek Dimensity 1200-Max Processor,4.5,598,65
"SAMSUNG Galaxy F42 5G (Matte Black, 128 GB)",20999,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,64MP + 5MP + 2MP | 8MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Dimensity 700 Processor,4.1,7252,676
"Infinix Hot 10S (Heart Of Ocean, 64 GB)",10999,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,17.32 cm (6.82 inch) HD+ Display,48MP + 2MP + AI Lens Camera | 8MP Front Camera,6000 mAh Li-ion Polymer Battery,MediaTek Helio G85 Processor,4.3,44744,4190
